location_id,name,web_url,rating,num_reviews,ranking_string,latitude,longitude,address,city,state,country,phone,website,price_level,seed_place,seed_geo_id
33344134,Leatherstocking Timber Products,https://www.tripadvisor.com/Attraction_Review-g48853-d33344134-Reviews-Leatherstocking_Timber_Products-West_Oneonta_Oneonta_Otsego_County_New_York.html?m=66827,5.0,3,,42.445614,-74.97493,"359 Delaware County Highway 11, West Oneonta, Oneonta, NY 13820",West Oneonta,New York,United States,+1 607-436-9082,https://leatherstockinghandsplits.com/,,"Manhattan, New York, USA",28953
9681910,C&C Taxi and Airport Transportation,https://www.tripadvisor.com/Attraction_Review-g48333-d9681910-Reviews-C_C_Taxi_and_Airport_Transportation-Oneonta_Otsego_County_New_York.html?m=66827,5.0,1,,42.44465,-75.03002,"Oneonta, NY",Oneonta,New York,United States,+1 607-434-6531,https://www.facebook.com/candctransport13820/,,"Manhattan, New York, USA",28953
19229164,Fortin Park,https://www.tripadvisor.com/Attraction_Review-g48333-d19229164-Reviews-Fortin_Park-Oneonta_Otsego_County_New_York.html?m=66827,5.0,2,,42.453854,-75.013954,"101 Youngs Road, Oneonta, NY 13820",Oneonta,New York,United States,+1 607-432-2900,http://townofoneonta.org/town/parks-recreation/fortin-park/,,"Manhattan, New York, USA",28953
27041184,Caribbean Day Spa,https://www.tripadvisor.com/Attraction_Review-g48853-d27041184-Reviews-Caribbean_Day_Spa-West_Oneonta_Oneonta_Otsego_County_New_York.html?m=66827,,0,,42.447132,-75.0235,"5252 State Highway 23, West Oneonta, Oneonta, NY 13820-3560",West Oneonta,New York,United States,+1 607-435-7984,http://www.caribbeandayspa.biz,,"Manhattan, New York, USA",28953
2163160,Hanford Mills Museum,https://www.tripadvisor.com/Attraction_Review-g47636-d2163160-Reviews-Hanford_Mills_Museum-Meredith_Catskill_Region_New_York.html?m=66827,4.8,41,,42.422653,-74.8864,"51 County Highway 12, Meredith, NY 13757-9998",Meredith,New York,United States,+1 607-278-5744,http://www.hanfordmills.org,,"Manhattan, New York, USA",28953
24990340,Skyhold Ranch,https://www.tripadvisor.com/Attraction_Review-g47587-d24990340-Reviews-Skyhold_Ranch-Delhi_Catskill_Region_New_York.html?m=66827,4.7,3,,42.397778,-74.87726,"7947 Elk Creek Rd, Delhi, NY 13753-1450",Delhi,New York,United States,+1 607-746-8078,http://www.skyholdranch.com,,"Manhattan, New York, USA",28953
14912191,Mountain View Dairy,https://www.tripadvisor.com/Attraction_Review-g47332-d14912191-Reviews-Mountain_View_Dairy-Bloomville_Catskill_Region_New_York.html?m=66827,5.0,2,,42.358852,-74.83043,"1468 Bloomville Hill Rd, Bloomville, NY 13739-2327",Bloomville,New York,United States,+1 518-944-0768,http://www.mountainviewdairyfarm.com,,"Manhattan, New York, USA",28953
3315702,HaSu Ranch Alpacas,https://www.tripadvisor.com/Attraction_Review-g47636-d3315702-Reviews-HaSu_Ranch_Alpacas-Meredith_Catskill_Region_New_York.html?m=66827,,0,,42.40975,-74.9711,"939 McDougal Rd., Meredith, NY",Meredith,New York,United States,,,,"Manhattan, New York, USA",28953
8110082,Emmons Pond Bog,https://www.tripadvisor.com/Attraction_Review-g48333-d8110082-Reviews-Emmons_Pond_Bog-Oneonta_Otsego_County_New_York.html?m=66827,4.7,13,,42.42388,-75.01002,"White Hill Rd, Oneonta, NY 13820",Oneonta,New York,United States,,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/newyork/places-preserves/eny-emmons-pond-bog.xml,,"Manhattan, New York, USA",28953
10092085,Shaver Hill Maple Farm,https://www.tripadvisor.com/Attraction_Review-g47862-d10092085-Reviews-Shaver_Hill_Maple_Farm-Harpersfield_Catskill_Region_New_York.html?m=66827,5.0,3,,42.4435,-74.70979,"310 Shaver Rd, Harpersfield, NY 13786-8365",Harpersfield,New York,United States,+1 607-652-6792,http://www.shaverhillfarm.com/,,"Manhattan, New York, USA",28953
